Strain Name	Virus Species	Virus Genus	Virus Family	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type	Complete Sequence	class_human_host	class_pathogenic	class_intersect
0349	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	JX503060	27263	2010	Human	Homo sapiens	Netherlands	genomic RNA	Yes	1	0	0
229E/UF-1/2016	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KY996417	27270	11/23/2016	Unknown	-N/A-	USA	genomic RNA	Yes	0	0	0
229E/Haiti-1/2016	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	MF542265	27271	03/2016	Human	Homo sapiens	Haiti	genomic RNA	Yes	1	0	0
HCoV_229E/Seattle/USA/SC1073/2016	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KY369913	27238	2016	Human	Homo sapiens	USA	genomic RNA	Yes	1	0	0
HCoV_229E/Seattle/USA/SC379/2016	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KY621348	27144	2016	Human	Homo sapiens	USA	genomic RNA	Yes	1	0	0
HCoV_229E/Seattle/USA/SC399/2016	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KY674914	27055	2016	Human	Homo sapiens	USA	genomic RNA	Yes	1	0	0
HCoV_229E/Seattle/USA/SC677/2016	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KY369909	26592	2016	Human	Homo sapiens	USA	genomic RNA	Yes	1	0	0
HCoV_229E/Seattle/USA/SC2872/2015	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KY967357	27242	2015	Human	Homo sapiens	USA	genomic RNA	Yes	1	0	0
HCoV_229E/Seattle/USA/SC579/2016	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KY369908	27193	2016	Human	Homo sapiens	USA	genomic RNA	Yes	1	0	0
HCoV_229E/Seattle/USA/SC3112/2015	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KY983587	27235	2015	Human	Homo sapiens	USA	genomic RNA	Yes	1	0	0
HCoV_229E/Seattle/USA/SC2282/2017	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KY684760	27249	2016	Human	Homo sapiens	USA	genomic RNA	Yes	1	0	0
HCoV_229E/Seattle/USA/SC0865/2019	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	MN306046	27270	2019	Human	Homo sapiens	USA	genomic RNA	Yes	1	0	0
HCoV_229E/Seattle/USA/SC9724/2018	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	MN369046	27075	2018	Human	Homo sapiens	USA	genomic RNA	Yes	1	0	0
HCoV_229E/Seattle/USA/SC9731/2016	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KY369912	27208	2016	Human	Homo sapiens	USA	genomic RNA	Yes	1	0	0
HCoV_229E/Seattle/USA/SC9773/2016	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KY369914	27231	2016	Human	Homo sapiens	USA	genomic RNA	Yes	1	0	0
HCoV-229E/BN1/GER/2015	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KU291448	27022	2015	Human	Homo sapiens	Germany	genomic RNA	Yes	1	0	0
HCoV_229E/Seattle/USA/SC1143/2016	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KY369910	27182	2016	Human	Homo sapiens	USA	genomic RNA	Yes	1	0	0
HCoV_229E/Seattle/USA/SC1212/2016	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KY369911	27226	2016	Human	Homo sapiens	USA	genomic RNA	Yes	1	0	0
N08-434B	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KY674919	27136	2016	Human	Homo sapiens	USA	genomic RNA	Yes	1	0	0
229E/human/USA/932-72/1993	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KF514432	27138	02/22/1993	Human	Homo sapiens; sex: F; age: 8Y	USA	genomic RNA	Yes	1	0	0
229E/human/USA/933-40/1993	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KF514433	27165	03/11/1993	Human	Homo sapiens; sex: F; age: 12Y	USA	genomic RNA	Yes	1	0	0
229E/human/USA/933-50/1993	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KF514430	27169	03/18/1993	Human	Homo sapiens; sex: M; age: 4Y	USA	genomic RNA	Yes	1	0	0
J0304	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	JX503061	27208	2009	Human	Homo sapiens	Italy	genomic RNA	Yes	1	0	0
229E	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	AF304460	27317	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	Yes	0	0	0
229E	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	NC_002645*	27317	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	Yes	0	0	0
BtCoV/FO1A-F2/Hip_aba/GHA/2010	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KT253270	28020	2010	Bat	Hipposideros abae	Ghana	genomic RNA	Yes	0	0	0
BtCoV/KW2E-F151/Hip_cf._rub/GHA/2011	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KT253269	28026	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	Yes	0	0	0
BtCoV/AT1A-F1/Hip_aba/GHA/2010	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KT253272	28688	2010	Bat	Hipposideros abae	Ghana	genomic RNA	Yes	0	0	0
5425	-N/A-	Alphacoronavirus	Coronaviridae	MN611517	27619	03/2018	Bat	Rousettus aegyptiacus	Kenya	genomic RNA	Yes	0	0	0
BtKY229E-8	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KY073748	27636	06/2010	Bat	Hipposideros vittatus	Kenya	genomic RNA	Yes	0	0	0
BtKY229E-1	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KY073747	27837	06/20/2009	Bat	Hipposideros sp.	Kenya	genomic RNA	Yes	0	0	0
BtCoV/KW2E-F56/Hip_cf._rub/GHA/2011	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KT253271	28754	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	Yes	0	0	0
CHB0025	-N/A-	Alphacoronavirus	Coronaviridae	MN611525	28169	03/2018	Bat	Hipposideros larvatus	China	genomic RNA	Yes	0	0	0
160942	-N/A-	Alphacoronavirus	Coronaviridae	MN611523	28514	03/2018	Bat	Hipposideros pomona	China	genomic RNA	Yes	0	0	0
LSH5A	Bat coronavirus HKU10	Alphacoronavirus	Coronaviridae	JQ989269	28492	12/2005	Bat	bat	Hong Kong	genomic RNA	Yes	0	0	0
SL12A	Bat coronavirus HKU10	Alphacoronavirus	Coronaviridae	JQ989267	28483	12/2006	Bat	bat	Hong Kong	genomic RNA	Yes	0	0	0
TT3A	Bat coronavirus HKU10	Alphacoronavirus	Coronaviridae	JQ989266	28483	12/2006	Bat	bat	Hong Kong	genomic RNA	Yes	0	0	0
TLC1310A	Bat coronavirus HKU10	Alphacoronavirus	Coronaviridae	JQ989268	28483	10/2006	Bat	bat	Hong Kong	genomic RNA	Yes	0	0	0
TLC1343A	Bat coronavirus HKU10	Alphacoronavirus	Coronaviridae	JQ989272	28483	08/2010	Bat	bat	Hong Kong	genomic RNA	Yes	0	0	0
TLC1347A	Bat coronavirus HKU10	Alphacoronavirus	Coronaviridae	JQ989273	28483	08/2010	Bat	bat	Hong Kong	genomic RNA	Yes	0	0	0
175A	Bat coronavirus HKU10	Alphacoronavirus	Coronaviridae	JQ989271	28489	10/2005	Bat	bat	China	genomic RNA	Yes	0	0	0
183A	Bat coronavirus HKU10	Alphacoronavirus	Coronaviridae	JQ989270	28494	10/2005	Bat	bat	China	genomic RNA	Yes	0	0	0
183A	Bat coronavirus HKU10	Alphacoronavirus	Coronaviridae	NC_018871*	28494	10/2005	Bat	bat	China	genomic RNA	Yes	0	0	0
BtRs-AlphaCoV/YN2018	-N/A-	Alphacoronavirus	Coronaviridae	MK211373	29109	05/2017	Bat	Cynopterus sphinx	China	genomic RNA	Yes	0	0	0
BtCoV/Rh/YN2012_Rs3376	Bat coronavirus	-N/A-	Coronaviridae	MG916901	29102	05/19/2012	Unknown	-N/A-	China	genomic RNA	Yes	0	0	0
BtCoV/Rh/YN2012_Rs4125	Bat coronavirus	-N/A-	Coronaviridae	MG916902	29074	09/16/2012	Unknown	-N/A-	China	genomic RNA	Yes	0	0	0
BtCoV/Rh/YN2012_Rs4259	Bat coronavirus	-N/A-	Coronaviridae	MG916903	29076	04/17/2013	Unknown	-N/A-	China	genomic RNA	Yes	0	0	0
TLC26A	-N/A-	Alphacoronavirus	Coronaviridae	MK720945	29201	08/06/2015	Bat	Rhinolophus sinicus	Hong Kong	genomic RNA	Yes	0	0	0
TLC28A	-N/A-	Alphacoronavirus	Coronaviridae	MK720946	29201	08/06/2015	Bat	Rhinolophus sinicus	Hong Kong	genomic RNA	Yes	0	0	0
BtCoV/Rh/YN2012_Ra13591	Bat coronavirus	-N/A-	Coronaviridae	MG916904	28751	06/01/2013	Unknown	-N/A-	China	genomic RNA	Yes	0	0	0
BtCoV/008_16/M.bra/FIN/2016	-N/A-	Alphacoronavirus	Coronaviridae	MN065811	28119	08/15/2016	Bat	Myotis brandtii	Finland	genomic RNA	Yes	0	0	0
BtCoV/020_16/M.dau/FIN/2016	-N/A-	Alphacoronavirus	Coronaviridae	MG923574	28045	08/28/2016	Bat	Myotis daubentonii	Finland	genomic RNA	Yes	0	0	0
13-019349	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KF267450	28038	05/29/2013	Swine	porcine	USA	genomic RNA	Yes	0	0	0
AOM-2/JPN/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LC063837	27904	04/2014	Pig	Sus scrofa domesticus	Japan	genomic RNA	Yes	0	0	0
USA/Minnesota269/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KR265783	27993	02/14/2014	Swine	pig	USA	genomic RNA	Yes	0	0	0
USA/Minnesota271/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KR265813	27993	02/20/2014	Swine	pig	USA	genomic RNA	Yes	0	0	0
USA/Minnesota379/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KR265832	27993	06/10/2014	Swine	pig	USA	genomic RNA	Yes	0	0	0
IA1	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KF468753	28038	2013	Swine	swine	USA	genomic RNA	Yes	0	0	0
NPL-PEDv/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ778615	28038	05/20/2013	Swine	Sus scrofa	USA	genomic RNA	Yes	0	0	0
UNKNOWN-LQ068537	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LQ068537	28038	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	0	0
UNKNOWN-LQ410511	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LQ410511	28038	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	0	0
UNKNOWN-LQ905109	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LQ905109	28038	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	0	0
UNKNOWN-LY411681	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	LY411681	28038	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	0	0
UNKNOWN-MA741913	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MA741913	28038	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	0	0
USA/Colorado/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KF272920	28038	05/10/2013	Swine	pig	USA	genomic RNA	Yes	0	0	0
NPL-PEDv/2013/p10.1	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KM052365	28038	05/15/2013	Swine	swine	USA	genomic RNA	Yes	0	0	0
USA/Minnesota309/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KR265829	27989	04/17/2014	Swine	pig	USA	genomic RNA	Yes	0	0	0
USA/SouthDakota336/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KR265811	27993	04/30/2014	Swine	pig	USA	genomic RNA	Yes	0	0	0
COL/Cundinamarca/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KU569509	28012	05/02/2014	Swine	pig	Colombia	genomic RNA	Yes	0	0	0
USA/Oklahoma418/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KR265792	27990	09/26/2014	Swine	pig	USA	genomic RNA	Yes	0	0	0
USA/Colorado420/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KR265812	27993	09/30/2014	Swine	pig	USA	genomic RNA	Yes	0	0	0
USA/Kansas431/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KR265819	27993	10/30/2014	Swine	pig	USA	genomic RNA	Yes	0	0	0
UNKNOWN-MF373643	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	MF373643	27998	2014	Unknown	-N/A-	USA	genomic RNA	Yes	0	0	0
USA/Iowa70/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ645666	27998	11/24/2013	Swine	porcine	USA	genomic RNA	Yes	0	0	0
USA/Iowa96/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ645688	27998	12/11/2013	Swine	porcine	USA	genomic RNA	Yes	0	0	0
USA/Minnesota41/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ645647	27998	10/14/2013	Swine	porcine	USA	genomic RNA	Yes	0	0	0
USA/Minnesota83/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ645677	27998	12/02/2013	Swine	porcine	USA	genomic RNA	Yes	0	0	0
USA/Minnesota86/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ645679	27998	12/07/2013	Swine	porcine	USA	genomic RNA	Yes	0	0	0
USA/Minnesota94/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ645686	27998	12/10/2013	Swine	porcine	USA	genomic RNA	Yes	0	0	0
USA/Minnesota65/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ645661	27998	11/20/2013	Swine	porcine	USA	genomic RNA	Yes	0	0	0
USA/NorthCarolina66/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ645662	27998	11/23/2013	Swine	porcine	USA	genomic RNA	Yes	0	0	0
USA/Minnesota85/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ645678	27998	12/04/2013	Swine	porcine	USA	genomic RNA	Yes	0	0	0
USA/Minnesota78/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ645673	27998	11/28/2013	Swine	porcine	USA	genomic RNA	Yes	0	0	0
USA/Minnesota95/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ645687	27998	12/10/2013	Swine	porcine	USA	genomic RNA	Yes	0	0	0
USA/Minnesota79/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ645674	27998	11/30/2013	Swine	porcine	USA	genomic RNA	Yes	0	0	0
USA/Illinois333/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KR265804	27993	05/14/2014	Swine	pig	USA	genomic RNA	Yes	0	0	0
USA/Kansas166/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KR265814	27991	02/28/2014	Swine	pig	USA	genomic RNA	Yes	0	0	0
USA/Minnesota202/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KR265816	27993	03/10/2014	Swine	pig	USA	genomic RNA	Yes	0	0	0
USA/Minnesota402/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KR265771	27993	08/18/2014	Swine	pig	USA	genomic RNA	Yes	0	0	0
USA/SouthDakota285/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KR265787	27993	04/02/2014	Swine	pig	USA	genomic RNA	Yes	0	0	0
USA/Minnesota236/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KR265794	27993	03/04/2014	Swine	pig	USA	genomic RNA	Yes	0	0	0
USA/Minnesota289/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KR265798	27993	04/02/2014	Swine	pig	USA	genomic RNA	Yes	0	0	0
USA/Minnesota290/2014	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KR265818	27993	04/03/2014	Swine	pig	USA	genomic RNA	Yes	0	0	0
USA/Colorado30/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ645638	27998	07/22/2013	Swine	porcine	USA	genomic RNA	Yes	0	0	0
USA/Colorado47/2013	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	KJ645651	27998	10/23/2013	Swine	porcine	USA	genomic RNA	Yes	0	0	0
